;Species;order;FemaleMeanMass;MaleMeanMass;CMR;ICM;lifeexp;Sample;Deaths;Neoplasia;knownDeaths;Animal;Vertebrate;Invertebrate;Fish;Herptile;Bird;Mammal;Adult_life_expectancy;body mass
92;Leontopithecus_rosalia;Primates;0.672724657;0.685923453;0;0;3919.973504;705;297;0;78;1;1;1;0;1;0;0;3919.97;0.68
93;Leopardus_pardalis;Carnivora;9.778210952;11.9190549;0.193548387;0.155930034;5783.081998;229;90;6;31;1;1;0;1;1;1;1;5783.08;10.85
94;Leptailurus_serval;Carnivora;10.4642785;13.3609172;0.098039216;0.158609132;4402.015713;400;150;5;51;1;1;0;0;0;0;1;4402.02;11.91
95;Litocranius_walleri;Artiodactyla;23.88132219;27.32492703;0.035714286;0.083791927;1757.561274;181;121;1;28;0;0;0;0;0;0;0;1757.56;25.6
96;Lontra_canadensis;Carnivora;7.641368422;9.089730672;0.136363636;0.119901606;4481.4162;214;83;3;22;1;1;1;1;0;0;0;4481.42;8.37
97;Lutra_lutra;Carnivora;5.688368619;7.638843137;0;0;3164.104898;243;112;0;27;1;1;0;1;0;0;0;3164.1;6.66
98;Lycaon_pictus;Carnivora;26.96987138;31.23947796;0.140939597;0.156565997;2649.606199;952;505;21;149;1;1;0;0;0;0;1;2649.61;29.1
99;Lynx_lynx;Carnivora;17.91611363;23.08510705;0.088235294;0.039201096;4925.261584;502;178;3;34;1;1;0;0;0;1;1;4925.26;20.5
100;Macaca_fascicularis;Primates;7.742828649;6.142459286;0.035714286;0.040930676;4822.263947;265;106;1;28;1;0;1;0;0;0;0;4822.26;6.94
101;Macaca_fuscata;Primates;10.66505119;13.18496089;0.083333333;0.064023738;6508.84056;833;247;6;72;1;1;1;0;0;0;0;6508.84;11.93
102;Macaca_nigra;Primates;7.794328573;12.1071461;0;0;4607.744154;286;108;0;24;1;0;1;0;0;0;0;4607.74;9.95
103;Macaca_silenus;Primates;6.645598421;11.017214;0.066666667;0.032060597;5794.962505;447;165;2;30;1;0;1;0;0;0;0;5794.96;8.83
104;Macaca_sylvanus;Primates;12.60895647;12.73467035;0;NA;4835.501539;420;114;0;33;0;0;0;0;0;0;0;4835.5;12.67
105;Macropus_giganteus;Diprotodontia;29.07076555;46.98890597;0.12;0.261783486;3315.537882;230;92;3;25;0;0;0;0;0;0;0;3315.54;38.03
106;Macropus_parma;Diprotodontia;4.005260479;4.753893925;0;0;1477.294322;394;284;0;83;0;0;0;0;0;0;0;1477.29;4.38
107;Macropus_rufogriseus;Diprotodontia;11.39738262;15.67234001;0.011952191;0.012944476;1966.658053;1678;1019;3;251;0;0;0;0;0;0;0;1966.66;13.53
108;Macropus_rufus;Diprotodontia;23.81477805;44.71349469;0.100719424;0.149024452;2275.312563;931;524;14;139;0;0;0;0;0;0;0;2275.31;34.26
109;Macroscelides_proboscideus;Macroscelidea;0.043469042;0.040065026;0;0;1135.713287;432;310;0;27;1;0;1;0;0;0;0;1135.71;0.04
110;Madoqua_kirkii;Artiodactyla;5.344382775;4.677352554;0.016393443;0.009819397;2140.698745;382;187;1;61;0;0;0;0;0;0;0;2140.7;5.01
111;Mico_argentatus;Primates;0.376724466;0.355262306;0.035714286;0.02536951;2689.826719;203;97;1;28;0;0;0;0;0;0;0;2689.83;0.37
112;Mico_melanurus;Primates;0.388024517;0.371726651;0.047619048;0.036399078;2116.188195;70;43;1;21;1;1;1;0;1;0;0;2116.19;0.38
113;Microcebus_murinus;Primates;0.084442369;0.076774946;0.129032258;0.065413422;2773.298497;296;165;4;31;1;1;1;0;1;0;0;2773.3;0.08
114;Mungos_mungo;Carnivora;1.649905043;1.543346387;0.068181818;0.022410945;2962.095611;723;308;3;44;1;1;1;0;0;0;0;2962.1;1.6
115;Muntiacus_muntjak;Artiodactyla;21.75456857;25.82401956;0;NA;4266.894779;293;88;0;27;0;0;0;0;0;0;0;4266.89;23.79
116;Muntiacus_reevesi;Artiodactyla;9.632602527;10.9607104;0.009708738;0.014299049;2857.872086;778;401;1;103;0;0;0;0;0;0;0;2857.87;10.3
117;Mustela_lutreola;Carnivora;0.724435695;1.086662113;0.153846154;0.12334926;2261.918038;373;117;6;39;1;1;1;0;1;0;1;2261.92;0.91
118;Mustela_nigripes;Carnivora;0.826167191;1.023517713;0.111111111;0.099756999;1471.496321;309;182;5;45;1;1;0;0;0;0;1;1471.5;0.92
119;Myocastor_coypus;Rodentia;5.22761037;5.856317818;0.037037037;0.030469007;951.7283364;280;234;1;27;0;0;0;0;0;0;0;951.73;5.54
120;Nanger_dama;Artiodactyla;46.56014825;57.56260621;0.018691589;0.019625935;2331.082166;656;328;2;107;0;0;0;0;0;0;0;2331.08;52.06
121;Nasua_nasua;Carnivora;4.506968948;5.677517452;0.039370079;0.100968973;3252.728891;1098;519;5;127;1;0;1;0;0;0;0;3252.73;5.09
122;Neofelis_nebulosa;Carnivora;14.35097674;21.43399874;0.260869565;0.290977248;4215.385236;286;96;6;23;1;1;0;0;0;0;1;4215.39;17.89
123;Nycticebus_pygmaeus;Primates;0.568751415;0.553588457;0.1875;0.163768088;3585.031034;287;150;6;32;1;1;1;0;1;0;1;3585.03;0.56
124;Odocoileus_virginianus;Artiodactyla;42.20359077;48.04596776;0;0;3189.758858;276;149;0;46;0;0;0;0;0;0;0;3189.76;45.12
125;Oryx_beisa;Artiodactyla;142.8794679;150.6801438;0;0;4041.112079;190;63;0;22;0;0;0;0;0;0;0;4041.11;146.78
126;Oryx_dammah;Artiodactyla;137.2888514;139.8440677;0.016393443;0.012084233;3507.352269;1282;556;2;122;0;0;0;0;0;0;0;3507.35;138.57
127;Oryx_gazella;Artiodactyla;165.9008819;162.8216957;0;0;3094.835356;396;191;0;47;0;0;0;0;0;0;0;3094.84;164.36
128;Oryx_leucoryx;Artiodactyla;87.03622225;86.1819442;0;0;3425.347321;578;231;0;56;0;0;0;0;0;0;0;3425.35;86.61
129;Otocolobus_manul;Carnivora;3.977831896;4.401078217;0.085714286;0.093155415;2688.234502;292;158;3;35;1;1;0;0;0;1;1;2688.23;4.19
130;Otocyon_megalotis;Carnivora;4.771723848;4.848452662;0.260869565;0.199313956;4006.593878;201;69;6;23;1;1;1;0;0;1;1;4006.59;4.81
131;Ovibos_moschatus;Artiodactyla;228.2788235;296.462278;0;0;2993.985497;149;76;0;32;0;0;0;0;0;0;0;2993.99;262.37
132;Pachyuromys_duprasi;Rodentia;0.053739908;0.071732905;0.05;NA;1455.810871;137;74;1;20;1;0;1;0;0;0;0;1455.81;0.06
133;Pan_troglodytes;Primates;56.17089501;63.73152812;0.020833333;NA;10519.64478;964;164;1;48;0;0;0;0;0;0;0;10519.64;59.95
134;Panthera_leo;Carnivora;135.6227145;188.2648431;0.12745098;0.119728773;4678.410305;2084;711;26;204;1;1;0;0;0;0;1;4678.41;161.94
135;Panthera_onca;Carnivora;50.70906136;63.49822861;0.243902439;0.219981077;5659.176186;354;135;10;41;1;1;0;1;1;0;1;5659.18;57.1
136;Panthera_pardus;Carnivora;37.47826727;49.14183059;0.05;0.056644649;5159.854854;721;279;5;100;1;1;0;0;0;0;1;5159.85;43.31
137;Panthera_tigris;Carnivora;103.2984334;139.5880114;0.132653061;0.135332796;4239.655585;1671;710;26;196;1;1;0;0;0;0;1;4239.66;121.44
138;Panthera_uncia;Carnivora;34.60997462;39.26277587;0.098901099;0.11526643;4229.785217;573;257;9;91;1;1;0;0;0;0;1;4229.79;36.94
139;Papio_hamadryas;Primates;15.05180497;25.84522732;0.025;0.022938069;4958.023437;1046;413;1;40;1;0;1;0;0;0;0;4958.02;20.45
140;Petaurus_breviceps;Diprotodontia;0.089191838;0.109121735;0.107142857;0.054388939;2622.536235;302;161;3;28;1;1;1;0;0;0;0;2622.54;0.1
